description,img,title,url,series,price,autor,pub_house
,http://img1.labirint.ru/books/491512/big.jpg,Село Степанчиково и его обитатели,http://www.labirint.ru/books/491512,,90,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/158167/big.jpg,Униженные и оскорбленные,http://www.labirint.ru/books/158167,,100,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/158167/big.jpg,Униженные и оскорбленные,http://www.labirint.ru/books/158167,,100,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/489118/big.jpg,Преступление и наказание,http://www.labirint.ru/books/489118,,104,Достоевский Федор Михайлович,Эксмо-Пресс
,http://img1.labirint.ru/books/510551/big.jpg,Униженные и оскорбленные,http://www.labirint.ru/books/510551,,133,Достоевский Федор Михайлович,АСТ
,http://img1.labirint.ru/books/475220/big.jpg,Бедные люди,http://www.labirint.ru/books/475220,,100,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/510551/big.jpg,Униженные и оскорбленные,http://www.labirint.ru/books/510551,,133,Достоевский Федор Михайлович,АСТ
,http://img1.labirint.ru/books/475220/big.jpg,Бедные люди,http://www.labirint.ru/books/475220,,100,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/205361/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/205361,,123,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/502489/big.jpg,Идиот,http://www.labirint.ru/books/502489,,110,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/205361/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/205361,,123,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/502489/big.jpg,Идиот,http://www.labirint.ru/books/502489,,110,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/503225/big.jpg,Подросток,http://www.labirint.ru/books/503225,,107,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/155640/big.jpg,Преступление и наказание,http://www.labirint.ru/books/155640,,110,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/466115/big.jpg,Преступление и наказание,http://www.labirint.ru/books/466115,,123,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/466115/big.jpg,Преступление и наказание,http://www.labirint.ru/books/466115,,123,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/425316/big.jpg,Игрок,http://www.labirint.ru/books/425316,,110,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/423123/big.jpg,Записки из Мертвого дома,http://www.labirint.ru/books/423123,,107,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/483026/big.jpg,Колымские рассказы Записки из Мертвого дома,http://www.labirint.ru/books/483026,,"120,107",Шаламов Варлам Тихонович Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/164963/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/164963,,359,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/425316/big.jpg,Игрок,http://www.labirint.ru/books/425316,,110,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/265681/big.jpg,Бесы,http://www.labirint.ru/books/265681,,378,Достоевский Федор Михайлович,Эксмо
,http://img1.labirint.ru/books/164963/big.jpg,Братья Карамазовы,http://www.labirint.ru/books/164963,,359,Достоевский Федор Михайлович,Эксмо
